date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:28	308066/308066	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:28%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/shop.html?view-type=sub	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/shop5a12.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:28	54370/54370	---M--	200	added ('OK')	image/jpeg	etag:%226288bf31-d462%22	https://blueskytechmage.com/minimog/media/wysiwyg/shop_megamenu_01.jpeg	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/media/wysiwyg/shop_megamenu_01.jpg	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:30	303425/303425	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:30%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/l21-bluetooth-earphone-wireless-earbuds-5-0-tws-headsets-dual-earbuds-bass-sound-for-huawei-xiaomi-iphone-samsung-mobile-phones.html	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/l21-bluetooth-earphone-wireless-earbuds-5-0-tws-headsets-dual-earbuds-bass-sound-for-huawei-xiaomi-iphone-samsung-mobile-phones.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:32	297516/297516	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:32%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/mecool-kh3-android-10-0-smart-4k-60fps-tv-box-black-2gb-ram-16gb-rom.html	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/mecool-kh3-android-10-0-smart-4k-60fps-tv-box-black-2gb-ram-16gb-rom.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:34	296655/296655	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:34%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/new-creative-cloth-art-home-outdoors-bluetooth-sound-box.html	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/new-creative-cloth-art-home-outdoors-bluetooth-sound-box.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:35	301041/301041	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:35%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/redmi-xiaoai-speaker-play-2-4ghz-1-75-inch-voice-remote-control-music-player-bluetooth-4-2-mi-speaker-for-android-iphone.html	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/redmi-xiaoai-speaker-play-2-4ghz-1-75-inch-voice-remote-control-music-player-bluetooth-4-2-mi-speaker-for-android-iphone.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:37	185577/185577	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:37%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/blog?blog-layout=list	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/blog46f8.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2030%20Nov%202023%2016:17:37%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/blog//?blog-layout=grid-2	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/blog/index5dc5.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:39	162494/162494	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:39%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/blog?blog-layout=grid-3	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/blog619a.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:41	162462/162462	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:41%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/blog?blog-layout=grid	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/blog2982.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:42	185610/185610	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:42%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/blog?blog-layout=grid-2	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/blog5dc5.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:43	196247/196247	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:43%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/blog/post/as-people-move-out-of-big-cities-fashion-retail-follows	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/blog/post/as-people-move-out-of-big-cities-fashion-retail-follows.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:44	192660/192660	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:45%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/blog/post/8-genius-lightweight-foundations-for-flawless-skin	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/blog/post/8-genius-lightweight-foundations-for-flawless-skin.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:46	221988/221988	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:46%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/blog/post/the-post-pandemic-consumer-is-embracing-secondhand-clothes	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/blog/post/the-post-pandemic-consumer-is-embracing-secondhand-clothes.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:47	161524/161524	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:47%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/shop/game-video.html	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/shop/game-video.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:49	161476/161476	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:49%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/shop/computers.html	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/shop/computers.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:50	161500/161500	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:50%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/shop/cell-phone.html	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/shop/cell-phone.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
21:47:52	161464/161464	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202023%2016:17:52%20GMT	https://blueskytechmage.com/minimog/demo_supergear_1/shop/cameras.html	C:/Users/pc/Downloads/Ecommerce/blueskytechmage.com/minimog/demo_supergear_1/shop/cameras.html	(from https://blueskytechmage.com/minimog/demo_supergear_1/)
